category,name,review,price,material,color,size,width
NEW ARRIVALS,Ultrastuart 100 Stretch Boot,5.0 out of 5 Customer Rating,"C$1,225",No Data Added,"[""Dusk"",""Nougat""]",No Data Added,No Data Added
NEW ARRIVALS,Ultrastuart 100 Stretch Boot,5.0 out of 5 Customer Rating,"C$1,225",No Data Added,"[""Black""]",No Data Added,No Data Added
NEW ARRIVALS,Ultrastuart 100 Stretch Boot,5.0 out of 5 Customer Rating,"C$1,225",No Data Added,"[""Nougat"",""Dusk""]",No Data Added,No Data Added
NEW ARRIVALS,Ultrastuart 110 Stretch Boot,4.8 out of 5 Customer Rating,"C$1,225",No Data Added,"[""Iridescent""]",No Data Added,No Data Added
NEW ARRIVALS,Soho Pearl Chelsea Bootie,,C$975,,"[""Black"",""White""]",No Data Added,No Data Added
MUST-HAVES,5050 Knee-High Lug Boot,,"C$1,025",,"[""Black""]",No Data Added,No Data Added
MUST-HAVES,5050,4.7 out of 5 Customer Rating,C$615,No Data Added,"[""Slate Gray"",""Black""]",No Data Added,No Data Added
MUST-HAVES,5050,4.7 out of 5 Customer Rating,"C$1,025",No Data Added,"[""Black"",""Slate Gray""]",No Data Added,No Data Added
MUST-HAVES,5050,4.7 out of 5 Customer Rating,"C$1,025",No Data Added,"[""Black""]",No Data Added,No Data Added
MUST-HAVES,Tieland,4.7 out of 5 Customer Rating,C$735,No Data Added,"[""Cappuccino"",""Black""]",No Data Added,No Data Added
SHOES,Norah,4.7 out of 5 Customer Rating,C$417,No Data Added,"[""White"",""Black""]",No Data Added,No Data Added
SHOES,Kolbie Chain Bootie,4.7 out of 5 Customer Rating,C$537,No Data Added,"[""Black/Silver"",""Black""]",No Data Added,No Data Added
SHOES,5050,4.7 out of 5 Customer Rating,"C$1,025",No Data Added,"[""Black"",""Slate Gray""]",No Data Added,No Data Added
SHOES,Yuliana 60,4.8 out of 5 Customer Rating,C$542.50,No Data Added,"[""Slate Gray"",""Black"",""Walnut Brown"",""Camel"",""Nougat""]",No Data Added,No Data Added
SHOES,Soho Bootie,4.9 out of 5 Customer Rating,C$510,No Data Added,"[""Black""]",No Data Added,No Data Added
BOOTS & BOOTIES,Yuliana 60,4.8 out of 5 Customer Rating,C$542.50,No Data Added,"[""Slate Gray"",""Black"",""Walnut Brown"",""Camel"",""Nougat""]",No Data Added,No Data Added
BOOTS & BOOTIES,Kolbie Chain Bootie,4.7 out of 5 Customer Rating,C$537,No Data Added,"[""Black/Silver"",""Black""]",No Data Added,No Data Added
BOOTS & BOOTIES,Stardust Bootie,5.0 out of 5 Customer Rating,"C$3,200",,"[""Black""]",No Data Added,No Data Added
BOOTS & BOOTIES,Norah,4.7 out of 5 Customer Rating,C$417,No Data Added,"[""White"",""Black""]",No Data Added,No Data Added
BOOTS & BOOTIES,Stuart 75 Stretch Bootie,4.7 out of 5 Customer Rating,C$775,No Data Added,"[""Black""]",No Data Added,No Data Added
BRIDAL,Nearlynude Highshine Sandal,5.0 out of 5 Customer Rating,C$750,No Data Added,"[""Silver""]",No Data Added,No Data Added
BRIDAL,SW Bow 100 Slide,3.7 out of 5 Customer Rating,C$750,No Data Added,"[""Clear/Crystal""]",No Data Added,No Data Added
BRIDAL,Stuart 100 Pump,4.8 out of 5 Customer Rating,C$375,No Data Added,"[""Crystal""]",No Data Added,No Data Added
BRIDAL,Nudistcurve 100 Strap Sandal,4.6 out of 5 Customer Rating,C$390,No Data Added,"[""Crystal"",""Silver"",""Adobe Beige""]",No Data Added,No Data Added
BRIDAL,Nudistsong Strap Sandal,4.3 out of 5 Customer Rating,C$625,No Data Added,"[""White"",""Black"",""Adobe Beige""]",No Data Added,No Data Added
SALE,Kolbie Chain Bootie,4.7 out of 5 Customer Rating,C$537,No Data Added,"[""Black/Silver"",""Black""]",No Data Added,No Data Added
SALE,Kolbie Chain Block Bootie,4.9 out of 5 Customer Rating,C$537,,"[""Black""]",No Data Added,No Data Added
SALE,Norah Chelsea Bootie,4.7 out of 5 Customer Rating,C$417,No Data Added,"[""Black""]",No Data Added,No Data Added
SALE,Soho Bootie,4.9 out of 5 Customer Rating,C$510,No Data Added,"[""Black""]",No Data Added,No Data Added
SALE,Nudistcurve 100 Strap Sandal,4.6 out of 5 Customer Rating,C$390,No Data Added,"[""Black""]",No Data Added,No Data Added
